ANNO;CODICE_TIPO_CAUSALE;TIPO_CAUSALE;CODICE_CAUSALE;DESCRIZIONE_CAUSALE
2024;C;Cessazione;03 ;DIMISSIONI (CON DIRITTO A PENSIONE)
2024;C;Cessazione;18 ;PASSAGGI AD ALTRE AMMINISTRAZIONI
2024;C;Cessazione;99 ;ALTRE CAUSE
2024;C;Cessazione;01 ;"COLLOCAMENTO A RIPOSO PER LIMITI DI ETA'"
2024;C;Cessazione;25 ;"LICENZIAMENTI DISPOSTI DALL'ENTE"
2024;C;Cessazione;28 ;DIMISSIONI SENZA DIRITTO A PENSIONE
2024;C;Cessazione;19 ;PASSAGGI AD ALTRE AMMINISTRAZIONI
2024;C;Cessazione;21 ;RISOLUZIONE RAPPORTO LAVORO
2024;C;Cessazione;17 ;PASSAGGI PER ESTERNALIZZAZIONI
2024;A;Assunzione;30 ;PASSAGGI DA ALTRA AMMINISTRAZIONE
2024;A;Assunzione;23 ;NOMINA DA CONCORSO
2024;A;Assunzione;24 ;ALTRE CAUSE
2024;A;Assunzione;31 ;PASSAGGI DA ALTRA AMMINISTRAZIONE
2024;A;Assunzione;35 ;PERSONALE STABILIZZATO EX ART. 35, C. 3
2024;A;Assunzione;41 ;PERSONALE STABILIZZATO EX ART.20 D.LGS. 75/2017
2024;A;Assunzione;29 ;ASSUNZIONE PER CHIAMATA NUMERICA (L.68/99 Cat. Protette)
2024;A;Assunzione;28 ;ASSUNZIONE PER CHIAMATA DIRETTA (L.68/99 Cat. Protette)
2024;A;Assunzione;27 ;STABILIZZATO DA LSU
2024;Z;Assenze;M05;ASSENZE PER MALATTIA RETRIBUITE SOGGETTE A TRATTENUTA
2024;Z;Assenze;F00;FERIE
2024;Z;Assenze;PR4;LEGGE 104/92
2024;Z;Assenze;O10;"CONGEDI RETRIBUITI  AI SENSI DELL'ART.42,C.5, DLGS 151/2001"
2024;Z;Assenze;M06;ASSENZE PER MALATTIA RETRIBUITE NON SOGGETTE A TRATTENUTA
2024;Z;Assenze;PR5;"ASS.RETRIB.:MATERNITA',CONGEDO PARENT.,MALATTIA FIGLIO"
2024;Z;Assenze;PR6;ALTRI PERMESSI ED ASSENZE RETRIBUITE
2024;Z;Assenze;SC1;SCIOPERO
2024;Z;Assenze;SS2;ALTRE ASSENZE NON RETRIBUITE
2024;Z;Assenze;Z01;FORMAZIONE
2024;Z;Assenze;Z02;LAVORO A DISTANZA
