ANNO;CODI_COMPARTO;DESC_COMPARTO;CODI_AGGREGATO;DESC_AGGREGATO;CODI_CONTRATTO;DESC_CONTRATTO
2024;FL;FUNZIONI LOCALI;04;REGIONI ED AUTONOMIE LOCALI;RALN;REGIONI E AUT.LOC. (CCNL NAZ.)
2024;FC;FUNZIONI CENTRALI;02;ENTI PUBBLICI NON ECONOMICI;EPNE;ENTI PUBBLICI NON ECONOMICI
2024;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;PRBZ;PROV. AUTONOMA DI BOLZANO
2024;SA;"SANITA'";01;SERVIZIO SANITARIO NAZIONALE;SSNA;SERVIZIO SANITARIO NAZIONALE
2024;IR;ISTRUZIONE E RICERCA;08;"UNIVERSITA'";UNIV;"UNIVERSITA'"
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;PR;PROFESSORI E RICERCATORI UNIVERSITARI;PRUN;PROFESSORI E RICERCATORI UNIVERSITARI
2024;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;RESA;CONTRATTO REGIONE SARDEGNA
2024;AF;COMPARTO AUTONOMO O FUORI COMPARTO;LS;ENTI LISTA S13 ISTAT;LS13;ENTI LISTA S13
2024;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;PRTN;PROV. AUTONOMA DI TRENTO
2024;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;REVA;"REGIONE VALLE D'AOSTA"
2024;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;REFR;CONTRATTO FRIULI VENEZIAGIULIA
2024;IR;ISTRUZIONE E RICERCA;33;IST. FORM.NE ART.CO MUS.LE;AFAM;ISTIT.NI FORM.NE ART. E MUSIC.
2024;FC;FUNZIONI CENTRALI;05;MINISTERI;MNST;MINISTERI
2024;AF;COMPARTO AUTONOMO O FUORI COMPARTO;28;ENTI ART.60 -COMMA 3- D.165/01;EN60;ENTI ART 60 COMMA 3 D 165 01
2024;IR;ISTRUZIONE E RICERCA;03;ENTI DI RICERCA;ERIC;ENTI DI RICERCA
2024;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;RESI;CONTRATTO REGIONE SICILIA
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;CSTA;MAGISTRATURA AMMINISTRATIVA
2024;FC;FUNZIONI CENTRALI;74;ENTI ART.70 - E.N.A.C.;ENAC;E.N.A.C.
2024;FC;FUNZIONI CENTRALI;73;ENTI ART.70 - C.N.E.L.;CNEL;C.N.E.L.
2024;AF;COMPARTO AUTONOMO O FUORI COMPARTO;14;"AUTORITA' INDIPENDENTI";AUIN;"AUTORITA'' INDIPENDENTI"
2024;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;RETN;CONTRATTO REGIONE TRENTINO
2024;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;SCTN;SCUOLA  P.A. TRENTO
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;AVST;AVVOCATURA DI STATO
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;PPEN;POLIZIA PENITENZIARIA
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;MTRB;MAGISTRATURA TRIBUTARIA
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;CCSS;CARABINIERI
2024;IR;ISTRUZIONE E RICERCA;07;SCUOLA;SCLA;SCUOLA
2024;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;SCBZ;SCUOLA  P.A. BOLZANO
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;CM10;CAPPELLANI MILITARI (CM10)
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;MMAA;MARINA
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;CM09;CAPPELLANI MILITARI (CM09)
2024;FC;FUNZIONI CENTRALI;81;"AGENZIA PER L'ITALIA DIGITALE";AGID;"AGENZIA PER L'ITALIA DIGITALE"
2024;FC;FUNZIONI CENTRALI;15;AGENZIE FISCALI;AGFI;AGENZIE FISCALI
2024;AF;COMPARTO AUTONOMO O FUORI COMPARTO;21;PRESIDENZA CONSIGLIO MINISTRI;PCMD;PRESIDENZA CONSIGLIO MINISTRI
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;EEII;ESERCITO
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;29;VIGILI DEL FUOCO;VVFF;VIGILI DEL FUOCO
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;AAMM;AERONAUTICA
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;MAMI;MAGISTRATURA MILITARE
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;31;CARRIERA PREFETTIZIA;CPRE;CARRIERA PREFETTIZIA
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;CCON;MAGISTRATURA CONTABILE
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;PPSS;POLIZIA DI STATO
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;MGOR;MAGISTRATURA ORDINARIA
2024;AF;COMPARTO AUTONOMO O FUORI COMPARTO;76;ENTI ART.70 - UNIONCAMERE;UCAM;UNIONCAMERE
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;30;CARRIERA PENITENZIARIA;CPEN;CARRIERA PENITENZIARIA
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;GGFF;GUARDIA DI FINANZA
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;CPOR;CAPITANERIE DI PORTO
2024;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;13;CARRIERA DIPLOMATICA;CDIP;CARRIERA DIPLOMATICA
