ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;DESC_MACROCATEGORIA;CODI_CATEGORIA;DESC_CATEGORIA;CODI_QUALIFICA;DESC_QUALIFICA
2024;ERIC;AP;ALTRO PERSONALE;RC;ASSEGNISTA DI RICERCA;;
2024;UNIV;AP;ALTRO PERSONALE;RC;ASSEGNISTA DI RICERCA;;
2024;REFR;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;0D0I96;RESPONSABILE DEI SERVIZI O DEGLI UFFICI IN D.O.
2024;SCLA;CO;PERSONALE DEL COMPARTO;SO;PERSONALE ATA T.D. CON CONTR. NON ANNUALE;0ASTMA;TEMP. ASSISTENTI
2024;CNEL;AP;ALTRO PERSONALE;PC;PERSONALE CONTRATTISTA;000061;CONTRATTISTI
2024;SCLA;CO;PERSONALE DEL COMPARTO;SA;PERSONALE A.T.A. A TEMPO INDETERMINATO;0OP000;OPERATORI
2024;SCBZ;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;BA;PERSONALE ATA;0F1ATA;AMMINISTRATIVO QUALIFICA FUNZIONALE I
2024;SCAL;CO;PERSONALE DEL COMPARTO;SL;INSEGNANTI A T.D. CON CONTRATTO NON ANNUALE;014ZO6;DOC. DI REL.INC. A T.DET.SC.DELL'INF. E PRIM.DA 28 A 34 ANNI
2024;ERIC;AP;ALTRO PERSONALE;DB;DIRETTORI;0D0IST;DIRETTORE DI ISTITUTO
2024;ELAL;AP;ALTRO PERSONALE;DF;DIRIGENTI E ALTE SPECIALIZ. FUORI DOTAZIONE ORG.;0D0098;DIRIGENTE FUORI D.O. ART.110 C.2 TUEL
2024;SCAL;CO;PERSONALE DEL COMPARTO;SL;INSEGNANTI A T.D. CON CONTRATTO NON ANNUALE;014ZO7;DOC. DI REL.INC. A T.DET.SC.DELL'INF. E PRIM.DA 35 ANNI
2024;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;PD;PROFESSORI A TEMPO DET. CONTRATTO ANNUALE;0D0RDA;RICERCATORI TEMPO DET.ANNUALE
2024;SCLA;CO;PERSONALE DEL COMPARTO;SA;PERSONALE A.T.A. A TEMPO INDETERMINATO;0EQ000;FUNZIONARI ED ELEVATA QUALIF.
2024;ENAC;AP;ALTRO PERSONALE;PC;PERSONALE CONTRATTISTA;000061;CONTRATTISTI
2024;SCAL;CO;PERSONALE DEL COMPARTO;SL;INSEGNANTI A T.D. CON CONTRATTO NON ANNUALE;016ZN5;DOC. DI RELIGIONE  INC. A T.DET.SCUOLA MEDIA DA 21 A 27 ANNI
2024;ELAL;AP;ALTRO PERSONALE;DG;DIRETTORI GENERALI;0D0104;SEGRETARIO GENERALE CCIAA
2024;RESI;AP;ALTRO PERSONALE;DF;DIRIGENTI E ALTE SPECIALIZ. FUORI DOTAZIONE ORG.;0D0095;ALTE SPECIALIZZ. FUORI D.O.
2024;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;PA;PERSONALE DELLE AREE;0OP000;AFAM - OPERATORE
2024;EPNE;PR;PROFESSIONISTI;AP;PROFESSIONISTI;0D0PR2;PROFESSIONISTI II LIVELLO
2024;PRTN;AP;ALTRO PERSONALE;PC;PERSONALE CONTRATTISTA;000061;PERS. CONTRATTISTA  A T. INDETERMINATO
