ANNO;CODI_TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2024;A;35;TREDICESIMA MENSILITA';+
2024;A;15;STIPENDIO;+
2024;A;33;DIFFERENZIALE STIPENDIALE MATURATO;+
2024;A;34;DIFFERENZIALE STIPENDIALE/ECONOMICO DI PROFESSIONALITÀ;+
2024;A;31;R.I.A.;+
2024;A;70;RECUPERI PER RITARDI ASSENZE ECC.;-
2024;A;45;ARRETRATI PER ANNI PRECEDENTI;+
2024;A;20;I.I.S.;+
2024;A;32;PROGRESSIONE PER CLASSI E SCATTI/FASCE RETRIBUTIVE;+
2024;T;101;STRAORDINARIO;+
2024;S;999;ALTRE SPESE ACCESSORIE ED INDENNITA' VARIE;+
2024;I;101;INDENNITA' DI FUNZIONE;+
2024;I;102;IND. DI GABINETTO;+
2024;S;615;INDENNITA' PER SPECIFICHE RESPONSABILITA';+
2024;I;105;INDENNITA' PROVINCIALE;+
2024;I;106;INDENNITA' DI ISTITUTO;+
2024;S;604;COMPENSI ONERI RISCHI E DISAGI;+
2024;I;109;INDENNITA' DI PRESIDENZA;+
2024;S;630;COMPENSI PRODUTTIVITA';+
2024;I;110;INDENNITA' DI AMMINISTRAZIONE;+
2024;S;720;INCENTIVI PER FUNZIONI TECNICHE;+
2024;I;125;IND. DI VIGILANZA;+
2024;I;126;INDENNITÀ DI TURNAZIONE;+
2024;S;998;ARRETRATI ANNI PRECEDENTI;+
2024;S;761;COMPETENZE PERSONALE COMANDATO/DISTACCATO PRESSO L'AMM.NE;+
2024;S;771;INDENNITÀ DI FUNZIONE;+
2024;S;190;INDENNITA' DI STAFF/COLLABORAZIONE;+
2024;S;710;COMPENSO AGGIUNTIVO AL SEGR. COMUNALE QUALE DIR. GENERALE;+
2024;I;128;ASSEGNO MAGISTRATI;+
2024;S;750;ONORARI AVVOCATI;+
2024;S;740;DIRITTI DI ROGITO E IND.SCAVALCO;+
2024;S;616;INDENNITA'  FUNZIONE POSIZIONI ORGANIZZATIVE;+
2024;I;129;IND. AREA DIRETTIVA E POSIZIONI PARTICOLARI;+
2024;I;131;COMPENSO ORE ECCEDENTI;+
2024;I;139;IND. DELLA VALORIZZAZIONE PROFESSIONALE;+
2024;S;711;INDENNITA' DI SPECIFICHE RESPONSABILITA';+
2024;S;670;PROGETTI SPECIALI ( ART.18 L.88/89 );+
2024;S;708;INCENTIVI ALLA MOBILITA';+
2024;I;143;PERSONALE SCOLASTICO;+
2024;I;144;INDENNITA' DI ENTE;+
2024;I;145;INDENNITA' DI RESPONSABILITA';+
2024;S;212;ALTRI COMPENSI PER PARTICOLARI CONDIZIONI DI LAVORO;+
2024;S;199;INDENNITA' PER L'OPERATIVITA' NEI SERVIZI DI PRONTO SOCCORSO;+
2024;S;204;PRONTA DISPONIBILITA';+
2024;I;146;INDENNITA' DI RISCHIO DA RADIAZIONI;+
2024;I;147;INDENNITA' RESPONSABILITA' PROFESSIONALE;+
2024;I;148;INDENN. PER ONERI SPECIFICI;+
2024;S;806;INDENNITA' DI COORDINAMENTO;+
2024;I;149;INDENN. STRUTTURE PARTIC. RILIEVO E ART. 22 DPR 171/91;+
2024;S;203;ALTRI COMPENSI ACCESSORI PERSONALE UNIVERSITARIO;+
2024;I;152;C.I.A. COMP. INDIV. ACCESSORIO-INDENN. DIREZ. DSGA P. FISSA;+
2024;S;820;COMPENSO PER TURNI DI GUARDIA NOTTURNI DIRIGENTI;+
2024;I;153;ORE ECCEDENTI ISTITUZIONALI;+
2024;I;154;ALTRE ORE ECCEDENTI;+
2024;I;155;RETRIB. PROF.LE DOCENTI;+
2024;I;156;INDENNITÀ DI PRONTA REPERIBILITÀ;+
2024;I;160;INDENNITA' DI PROFESSIONALITA';+
2024;I;202;IND DIREZ. STRUTT. COMP.;+
2024;I;204;INDENNITA' DI ESCLUSIVITA';+
2024;I;207;RETRIBUZIONE DI POSIZIONE;+
2024;I;209;IND. NOTTURNA E FESTIVA;+
2024;S;611;SUPPLENZE;+
2024;I;210;INDENNITA' MENSILE DI VOLO;+
2024;I;211;INDENNITA' MENSILE OPERATORI SUBACQUEI;+
2024;I;212;RETRIBUZIONE DI RISULTATO;+
2024;I;216;INDENNITA' DI SPECIFICITA' MEDICO-VETERINARIA;+
2024;I;221;ASSEGNO DI SPECIFICITA';+
2024;I;222;INDENNITA DI COMPARTO;+
2024;I;223;RETRIBUZIONE AGGIUNTIVA PER SEDI CONVENZIONATE;+
2024;I;224;INDENNITA' MENSILE;+
2024;S;400;COMPENSI ACCESSORI;+
2024;I;227;MAGGIORAZIONE RETRIB. DI POSIZIONE DIRETTORE DIPARTIMENTO;+
2024;I;228;RETR. PROFESSIONALE PROVINCIALE;+
2024;I;240;UNA TANTUM PROFESSORI E RICERCATORI;+
2024;S;130;INDENNITA' DI AMMINISTRAZIONE;+
2024;I;303;INDENNITA' DI RISCHIO;+
2024;S;127;ATTIVITA' AGGIUNTIVE;+
2024;I;304;INDENNITA' DI ATENEO;+
2024;I;305;INDENNITA' DI POSIZIONE;+
2024;S;124;INDENNITA' DI ESAME;+
2024;I;307;SUPERMINIMO;+
2024;S;129;IND. DIREZIONE INCARIC. DELLA DIRIG.;+
2024;S;760;INDENNITA' UFFICI DIRETTA COLLABORAZIONE MINISTRO;+
2024;S;603;TRATTAM. ACCESS. ALL'ESTERO;+
2024;I;315;INDENNITA' ACCESSORIA MENSILE;+
2024;I;330;INDENNITA' DI ENTE ANNUALE;+
2024;S;128;IND. DI FUNZIONI SUP. E DI REGGENZA;+
2024;I;340;INDENNITA' DI ENTE MENSILE;+
2024;I;400;INDENNITA' FISSE;+
2024;I;402;IND.SECONDA LINGUA;+
2024;I;418;ASSEGNO AD PERSONAM;+
2024;S;201;INDENNITA' DI TURNO;+
2024;I;421;INDENNITA' DE MARIA;+
2024;I;422;IND. DI VACANZA CONTRATTUALE;+
2024;I;424;INDENNITÀ ART. 42, COMMA 5-TER, D.LGS. 151/2001;+
2024;I;426;INDENNITA' PROFESSIONALI;+
2024;S;709;INCENTIVI ALLA MOBILITÀ TERRITORIALE;+
2024;I;433;INDENNITA' SPECIFICHE DIRIGENZA MEDICA;+
2024;I;436;INDENNITA' FORESTALE;+
2024;I;437;INDENNITA' DI SPECIFICITA' INFERMIERISTICA;+
2024;S;315;INDENNITA' AERONAUTICA;+
2024;I;438;INDENNITA' TUTELA DEL MALATO E PROMOZIONE DELLA SALUTE;+
2024;S;629;FONDO EFFICIENZA SERVIZI ISTITUZIONALI;+
2024;I;470;INDENNITA' PENSIONABILE L.121/81;+
2024;I;507;RETRIBUZIONE DI POSIZIONE - QUOTA VARIABILE;+
2024;I;513;ASSEGNO FUNZIONALE;+
2024;S;625;FESTIVITA' PARTICOLARI;+
2024;S;309;INDENNITA' FESTIVA;+
2024;S;219;COMPENSI SERVIZI ESTERNI;+
2024;S;308;INDENNITA' NOTTURNA;+
2024;I;514;IND. PENSIONABILE;+
2024;I;516;IND. OPERATIVE FONDAMENTALI;+
2024;S;305;INDENNITA' DI ORDINE PUBBLICO E SICUREZZA PUBBLICA;+
2024;S;635;COMPENSO FORFETTARIO DI GUARDIA E IMPIEGO;+
2024;I;517;IND. PROV. DA PROVV. SPECIFICI;+
2024;I;518;IND. EXTRACONTR. NON FINANZ. CON FUA;+
2024;S;135;COMP. IND. MIGLIORAMENTO OFFERTA FORMATIVA;+
2024;I;519;IND. PERSONALE ALL'ESTERO (L.642/61 E L.1114/62);+
2024;I;521;IMPORTO AGGIUNTIVO PENSIONABILE;+
2024;I;524;ASSEGNO PENSIONABILE L.427/96;+
2024;I;526;INDENNITA' DI QUALIFICAZIONE PROFESSIONALE;+
2024;I;530;INDENNITA' RETTORALE;+
2024;T;105;STRAORDINARIO PERSONALE MILITARE;+
2024;I;533;INDENNITA' PROFESSIONALE SPECIFICA;+
2024;S;230;SPECIFICO COMP. ACCESS. ART.83 C.6  CCNL 02/05;+
2024;S;194;FONDO DI AMMINISTRAZIONE;+
2024;T;117;STRAORDINARIO CONTO TERZI;+
2024;I;535;INDENNITA' DI SPECIFICITA' SANITARIA;+
2024;I;602;ASSEGNO AGGIUNTIVO;+
2024;I;830;IND. DIREZIONE CARRIERA DIRIGENZIALE PENITENZIARIA;+
2024;I;836;INDENNITA' OPERATIVE SUPPLEMENTARI;+
2024;S;195;FONDO DI PRODUTTIVITA';+
2024;S;192;INDENNITA' DI SERVIZIO OPERATIVO;+
2024;S;191;INDENNITA' DI IMPIEGO OPERATIVO;+
2024;S;193;INDENNITA' DI FUNZIONE TECNICA E PROFESSIONALE;+
2024;I;837;INDENNITA' DI POSIZIONE E PEREQUATIVA;+
2024;I;839;INDENNITÀ ATTIVITÀ DI CONTROLLO DEL TERRITORIO;+
2024;I;840;ASSEGNO OMNICOMPRENSIVO;+
2024;I;841;INDENNITÀ QUALIFICHE PROFESSIONALI CYBER;+
2024;I;845;INDENNITÀ SPECIFICITÀ CORPO POLIZIA PENITENZIARIA;+
2024;S;619;IND. SERVIZIO ALL'ESTERO;+
2024;S;115;RETRIBUZIONE POSIZIONE ORGANIZZATIVA ELEVATA RESPONSABILITA';+
2024;L;11;EROGAZIONE BUONI PASTO;+
2024;P;55;CONTRIBUTI A CARICO DELL'AMM.NE SU COMP. FISSE E ACCESSORIE;+
2024;P;61;IRAP;+
2024;L;20;FORMAZIONE DEL PERSONALE;+
2024;L;110;ALTRE SPESE;+
2024;P;15;RETRIBUZIONI PERSONALE  A TEMPO DETERMINATO;+
2024;P;30;INDENNITA' DI MISSIONE E TRASFERIMENTO;+
2024;P;35;CONTRIBUTI A CARICO DELL'AMM. PER FONDI PREV. COMPLEMENTARE;+
2024;L;111;CONTRATTI DI COLLABORAZIONE PROFESSIONALE;+
2024;L;115;CONTRATTI PER RESA SERVIZI/ADEMPIMENTI OBBLIGATORI PER LEGGE;+
2024;L;107;COPERTURE ASSICURATIVE;+
2024;P;58;QUOTE ANNUE ACCANTONAMENTO TFR O ALTRA IND. FINE SERVIZIO;+
2024;P;65;COMPENSI PER PERSONALE LSU/LPU;+
2024;P;90;RIMBORSI RICEVUTI PER PERS. COMAND./FUORI RUOLO/IN CONV. (-);-
2024;L;10;GESTIONE MENSE;+
2024;L;112;INCARICHI DI STUDIO/RICERCA/CONSULENZA;+
2024;P;71;SOMME RIMBORSATE PER PERSONALE COMAND./FUORI RUOLO/IN CONV.;+
2024;L;5;ASSEGNI PER IL NUCLEO FAMILIARE;+
2024;P;99;ALTRI RIMBORSI RICEVUTI DALLE AMMINISTRAZIONI (-);-
2024;L;105;SOMME CORRISPOSTE AD AGENZIA DI SOMMINISTRAZIONE(INTERINALI);+
2024;P;62;ONERI PER I CONTRATTI DI SOMMINISTRAZIONE(INTERINALI);+
2024;L;90;BENESSERE DEL PERSONALE;+
2024;P;74;ALTRE SOMME RIMBORSATE ALLE AMMINISTRAZIONI;+
2024;P;98;SOMME RICEVUTE DA U.E. E/O PRIVATI (-);-
2024;P;16;RETRIBUZIONI PERSONALE CON CONTRATTO DI FORMAZIONE E LAVORO;+
2024;P;95;RIMBORSI RICEVUTI  DALLA REGIONE PER LA PEREQUAZIONE STIPEND;-
2024;P;96;RIMBORSI RICEVUTI DA ENTI SSN PER IND. DE MARIA (-);-
2024;P;92;COMPENSI AGGIUNTIVI PER LA DIRIGENZA MEDICA E VETERINARIA;+
2024;P;93;COMPENSI AGGIUNTIVI PER LA DIRIGENZA DEL RUOLO SANITARIO;+
2024;P;94;COMP.AGGIUNTIVI PERS.INFERM.CO E TECN.SAN.DI RADIOL.MED.;+
2024;L;100;EQUO INDENNIZZO AL PERSONALE;+
2024;P;91;ACCANTONAMENTI PER RINNOVI CONTRATTUALI;+
2024;P;72;SOMME RIMBORSATE ALLE UNIVERSITÀ PER INDENNITÀ DE MARIA;+
2024;I;846;INDENNITÀ ATTIVITÀ ISPETTIVA TRIBUTARIA;+
2024;S;207;INDENNITA' SERVIZIO NOTTURNO E FESTIVO;+
2024;S;320;IND. SOSTITUTIVA DELL'IND. AERONAUTICA;+
