ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2024;REFR;F;FINANZIA;64A;NUOVI SERV. / RIORG. - VARIAB. (ART. 55 C. 2 CCRL 02-05);+
2024;RESA;U;UTILIZZO;491;RETRIBUZIONE DI RENDIMENTO;+
2024;EPNE;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2024;SSNA;F;FINANZIA;951;INCR. DOT. ORG. O NUOVI SERV. (ART. 53 - POSIZ - CCNL 98-01);+
2024;SSNA;F;FINANZIA;960;SPEC. DISP. DI LEGGE (ART. 52 C. 5 L. A CCNL 98-01);+
2024;SSNA;F;FINANZIA;961;PROGRAMMI CONCORDATI (ART. 52 C. 5 L. B CCNL 98-01);+
2024;SSNA;F;FINANZIA;987;ALTRE RISORSE FONDO RISULTATO / PARTE VARIABILE;+
2024;SSNA;U;UTILIZZO;268;INDENNITÀ DI INCARICO DI DIREZIONE DI STRUTTURA COMPLESSA;+
2024;AGID;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2024;AFAM;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2024;MNST;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2024;SCLA;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2024;EPNE;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2024;RESA;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2024;UCAM;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2024;RESA;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2024;SCLA;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2024;EPNE;U;UTILIZZO;556;INDENNITÀ ALTRI PROFESSIONISTI;+
2024;PCMD;F;FINANZIA;20E;NUOVI SERVIZI O RIORG. - STABILE (ART. 51 C. 8 CCNL 02-05);+
2024;ENAC;F;FINANZIA;95E;RISP ART 2 C 3 DLGS 165/01 (ART. 82 C. 3 L. C CCNL 02-05);+
2024;UNIV;F;FINANZIA;24A;ATT NUOVI SERV O MIGL SERV ES - VAR (ART.62 C.7 CCNL02-05);+
2024;AGID;F;FINANZIA;73C;INCREMENTI CCNL 08-09 (ART. 4 C. 1);+
2024;AGID;F;FINANZIA;74C;RIA PERS. CESSATO BASE ANNUA (ART.51 C. 4 P. 1 CCNL 02-05);+
2024;MNST;F;FINANZIA;76C;RIS DA TERZI INCARICHI AGG.VI (ART. 51 C. 3 L. C CCNL 02-05);+
2024;MNST;F;FINANZIA;88C;MIN. SALUTE INCREMENTI CCNL 08-09 (ART. 8 CC. 3-4);+
2024;CNEL;F;FINANZIA;93C;MAGG. ENTR. O EC. GEST. (ART. 58 C. 3 L. C CCNL 02-05);+
2024;AGID;F;FINANZIA;94C;RIS. DA TERZI INCARICHI AGG.VI (ART.58 C. 3 L. D CCNL 02-05);+
2024;CNEL;F;FINANZIA;57E;INCREMENTI CCNL 06-09 (ART. 20 C. 1);+
2024;ENAC;F;FINANZIA;86E;ECON. DA RID. STAB. DIRIGENTI (ART. 55 C. 3 L. D CCNL 02-05);+
2024;CPRE;F;FINANZIA;32F;INCREMENTI ACCORDO 06-09 (ART. 21 C. 1 DPR 105/08);+
2024;RESA;F;FINANZIA;41B;STORICO AL 1.1.06 (ART. 102BIS C. 1 CCRL 98-01 S.M.I.);+
2024;PCMD;F;FINANZIA;48E;RIS. PERSONALE DI PRESTITO (ART. 82 C. 5 CCNL 02-05);+
2024;AFAM;F;FINANZIA;79F;ART 17 C 1 CCNL 06-09 - INCREMENTI FONDO ISTITUTO;+
2024;SCLA;F;FINANZIA;81F;RISORSE VARIABILI DA EELL E ALTRI ENTI;+
2024;SCLA;F;FINANZIA;82F;RISORSE VARIABILI DA PRIVATI;+
2024;AFAM;F;FINANZIA;83F;RISORSE VARIABILI DA UNIONE EUROPEA;+
2024;EPNE;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2024;ERIC;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2024;RESA;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2024;UNIV;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2024;ERIC;F;FINANZIA;66C;SPEC. DISP. LEGGE (ART. 4 C. 1 L. G CCNL 00-01);+
2024;ERIC;U;UTILIZZO;616;PRODUTTIVITÀ - FONDO E;+
2024;AGFI;F;FINANZIA;63B;RIS. DA TERZI PER INCAR. AGG.VI (ART 59 C 3 L. A CCNL02-05);+
2024;AGFI;F;FINANZIA;17D;RIS ART 59 C 4 L. C DLGS 300/99 (ART 52 C 3 L D CCNL 02-05);+
2024;EPNE;F;FINANZIA;79B;NUOVI SERVIZI/RIORG/INCR DOT ORG  (ART. 4 C. 10 CCNL 00-01);+
2024;AGID;F;FINANZIA;61E;INCREMENTI CCNL 06-09 (ART. 23 C. 1);+
2024;CNEL;F;FINANZIA;60E;NUOVI SERV / RIORG. EVENTI ECCEZ. (ART. 51 C. 8 CCNL 02-05);+
2024;CPRE;F;FINANZIA;28F;INCREMENTI ACCORDO 00-01 (ART. 20 C. 1 L. I DPR 316/01);+
2024;SSNA;F;FINANZIA;70G;IMPORTO CONSOLIDATO AL 31.12.07 (ART. 10 C. 1 CCNL 08-09);+
2024;ERIC;F;FINANZIA;26H;ART 4 C 1 ALINEA 2 E 3 CCNL 04-05 - INCREMENTI;+
2024;REFR;F;FINANZIA;51H;ART 43 L 449/1997 - RISPARMI DI GESTIONE;+
2024;CNEL;F;FINANZIA;51H;ART 43 L 449/1997 - RISPARMI DI GESTIONE;+
2024;ERIC;F;FINANZIA;51H;ART 43 L 449/1997 - RISPARMI DI GESTIONE;+
2024;PCMD;F;FINANZIA;51H;ART 43 L 449/1997 - RISPARMI DI GESTIONE;+
2024;ENAC;F;FINANZIA;74H;RISORSE AGGIUNTIVE ART. 82 C. 3 L. G CCNL 02-05;+
2024;UNIV;F;FINANZIA;85G;INCREMENTI CCNL 06-09 (ART. 22 C. 1);+
2024;AGFI;F;FINANZIA;05H;ART 4 C 1 ALINEA 2 E 3 CCNL 04-05 - INCREMENTI;+
2024;ERIC;F;FINANZIA;07H;ART 4 C 1 CCNL 08-09 - INCREMENTI;+
2024;AGFI;F;FINANZIA;44H;INCREMENTI CCNL 04-05 (ART. 7 C. 3 ALINEA 2 E 3);+
2024;AGFI;F;FINANZIA;46H;INCREMENTI CCNL 08-09 (ART. 7 C. 2);+
2024;SCLA;U;UTILIZZO;915;ART 88 C 2 L F) CCNL 06-09 - DOC COMP. COLLAB. DS;+
2024;ENAC;F;FINANZIA;76G;FONDO 2004 CERT ORG CONTR./PARTE FISSA (ART1 C189 L266/05);+
2024;AGFI;F;FINANZIA;76G;FONDO 2004 CERT ORG CONTR./PARTE FISSA (ART1 C189 L266/05);+
2024;EPNE;F;FINANZIA;92G;INCREMENTI CCNL 08-09 (ART. 11 C. 1);+
2024;AGID;F;FINANZIA;11H;INCREMENTI CCNL 04-05 (ART. 7 C. 1 ALINEA 2 E 3);+
2024;SSNA;U;UTILIZZO;582;COMPENSO PER QUALITÀ PRESTAZIONE INDIVIDUALE;+
2024;MNST;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2024;EPNE;F;FINANZIA;91H;ALTRE DECURTAZIONI DEL FONDO /  PARTE VARIABILE;-
2024;SSNA;U;UTILIZZO;58A;SOSTITUZIONI (ART. 18 CCNL 98-01);+
2024;SCLA;U;UTILIZZO;911;ART 88 C 2 L C) CCNL 06-09 - DOC ORE AGG.VE CORSI RECUPERO;+
2024;ERIC;F;FINANZIA;29C;RIS DA TERZI PER INCARICHI AGG.VI (ART 55 C3 L. A CCNL02-05);+
2024;ERIC;F;FINANZIA;32C;NUOVI SERV. O RIORG. - VAR. (ART. 55 C. 7 CCNL 02-05);+
2024;ENAC;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2024;RALN;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2024;ERIC;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2024;SSNA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2024;MNST;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2024;PCMD;U;UTILIZZO;10A;PRODUTTIVITÀ / PERFORMANCE INDIVIDUALE;+
2024;EPNE;F;FINANZIA;86H;ALTRE DECURTAZIONE DEL FONDO /  PARTE FISSA;-
2024;REFR;F;FINANZIA;96H;ART 16 CC 4-5-6 DL 98/11 - RISP. PIANI RAZIONALIZZAZIONE;+
2024;AGID;F;FINANZIA;24I;PROG. ORIZZ. EX C. 193 L. 266/05 - VALORE ANNO CORRENTE;+
2024;AGFI;U;UTILIZZO;00L;SPECIFICHE RESPONSABILITÀ;+
2024;ENAC;U;UTILIZZO;00L;SPECIFICHE RESPONSABILITÀ;+
2024;RALN;U;UTILIZZO;00L;SPECIFICHE RESPONSABILITÀ;+
2024;RALN;U;UTILIZZO;00U;RETRIBUZIONE DI POSIZIONE;+
2024;AFAM;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2024;AGFI;U;UTILIZZO;22I;INCENTIVI FUNZIONI TECNICHE;+
2024;UNIV;U;UTILIZZO;22I;INCENTIVI FUNZIONI TECNICHE;+
2024;SSNA;U;UTILIZZO;01K;PREMI CORRELATI ALLA PERFORMANCE ORGANIZZATIVA;+
2024;MNST;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2024;AGID;F;FINANZIA;02P;ART 1 C 189 L 266/05 - DEC. FONDO RISPETTO LIMITE 2004-10%;-
2024;AGFI;F;FINANZIA;02P;ART 1 C 189 L 266/05 - DEC. FONDO RISPETTO LIMITE 2004-10%;-
2024;RESA;F;FINANZIA;34I;ART 102TER C 1, L B) CCRL 98-01 - DIFF STIP CESS ANNO PREC;+
2024;RALN;F;FINANZIA;00E;ART 67 C 2 L E CCNL 16-18 - INCREM. ALTRO PERS. TRASF.;+
2024;RALN;F;FINANZIA;00Y;ART 67 C 3 L G CCNL 16-18 - RIS. PERS. DA CASE DA GIOCO;+
2024;RALN;F;FINANZIA;01M;ART 67 C 3 L K CCNL 16-18-INTEGR. PERS. TRASF. CORSO D'ANNO;+
2024;RALN;F;FINANZIA;01Q;ART 67 C 2 L E CCNL 16-18 -DEC. PERS. TRASF. DISP. LEGGE;-
2024;SSNA;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2024;SCLA;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2024;REVA;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2024;UNIV;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2024;AGID;F;FINANZIA;05N;ART 76 C 3 L B) CCNL 16-18 - RIA PERS CESSATO MISURA INTERA;+
2024;AGID;F;FINANZIA;05O;ART 76 C 3 L C) CCNL 16-18 - IND AMM/ENTE PERS CESS NON RIUT;+
2024;MNST;F;FINANZIA;05O;ART 76 C 3 L C) CCNL 16-18 - IND AMM/ENTE PERS CESS NON RIUT;+
2024;ENAC;F;FINANZIA;05R;ART 76 C 4 L C) CCNL 16-18 - ALTRE SPEC. DISP. DI LEGGE;+
2024;AGID;F;FINANZIA;05S;ART 76 C 4 L D) CCNL 16-18 - RIA IND AMM/ENTE CES MENS RESID;+
2024;EPNE;U;UTILIZZO;02P;PROGRESSIONI ECONOMICHE ANNO DI RIFER.TO;+
2024;ENAC;U;UTILIZZO;02Q;INDENNITÀ POSIZIONI ORGANIZZATIVE;+
2024;PCMD;U;UTILIZZO;02S;WELFARE INTEGRATIVO A CARICO DEL FONDO;+
2024;MNST;U;UTILIZZO;02S;WELFARE INTEGRATIVO A CARICO DEL FONDO;+
2024;MNST;F;FINANZIA;11V;ART 48 C 1 CCNL 16-18 - INCREMENTI;+
2024;SCLA;U;UTILIZZO;06S;ART 40 C 4 L F) CCNL 16-18 - DOC ORE ECCEDENTI SOSTIT. COLL.;+
2024;EPNE;F;FINANZIA;12K;SPEC. DISP. DI LEGGE (ART. 42 C. 2 L. E CCNL 98-01);+
2024;SSNA;F;FINANZIA;12Z;ART 94 C 4 L B CCNL 16-18 - ALTRE SPEC DISPOSIZIONI DI LEGGE;+
2024;SSNA;F;FINANZIA;18W;ART 90 C 3 L E CCNL 16-18 - INCR STAB DA FONDO RISULTATO;+
2024;UCAM;F;FINANZIA;22X;ART 63 C 4 L B) CCNL 16-18-RIS. OBIETT. ENTE ANCHE MANTEN.;+
2024;UNIV;F;FINANZIA;25U;ART 1 C 297 LETT A L 234/21- INCR ACC PERS AGG.VO PIANI STR;+
2024;REFR;F;FINANZIA;28M;ART 45 C 1 CCRL 19-21 - RIA E ASS AD PERS CESS AL 31.12.21;+
2024;RESI;F;FINANZIA;33O;ART 100 C 2 L F CCRL 19-21 - SPEC DISP LEGGE RANGO REG.LE;+
2024;RESI;F;FINANZIA;33Q;ART 100 C 3 L C CCRL 19-21 - RIA CESS ANNO PREC MENS RESIDUE;+
2024;RALN;U;UTILIZZO;05P;STRAORDINARIO ORDINARIO;+
2024;AGID;U;UTILIZZO;07H;PERFORMANCE NUOVI MODELLI ORGANIZZATIVI (LAVORO AGILE);+
2024;EPNE;U;UTILIZZO;07H;PERFORMANCE NUOVI MODELLI ORGANIZZATIVI (LAVORO AGILE);+
2024;UNIV;U;UTILIZZO;01Z;INDENNITÀ ACCESSORIA MENSILE;+
2024;UCAM;F;FINANZIA;22R;ART 63 C 2 L D) CCNL 16-18 - INCREM. RIDUZ. STAB. STRAORD.;+
2024;UCAM;F;FINANZIA;22Y;ART 13 C 1 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2018;+
2024;SSNA;F;FINANZIA;25L;ART 103 C 3 CCNL 19-21 -  INCR RID STAB PIANTA ORGANICA;+
2024;SSNA;U;UTILIZZO;07O;DEP (DIFFERENZIALI ECON. DI PROF.TÀ) NON DISPONIBILI ALLA CI;+
2024;SSNA;U;UTILIZZO;07S;INDENNITÀ PROFESSIONALE SPECIFICA;+
2024;ENAC;F;FINANZIA;27O;ART 46 C 2 CCNL 19-21 - 1,82% M.S. 2018;+
2024;CNEL;F;FINANZIA;24P;ART. 45 DLGS 36/2023 - INCENTIVI ALLE FUNZIONI TECNICHE;+
2024;RESA;F;FINANZIA;29R;ART 102 C 1 L B) CCRL 98-01 - RIS DA CONTRATTAZ COLLETT;+
2024;SSNA;F;FINANZIA;18S;ART 90 C 3 L A CCNL 16-18 - INCR. 338,00 EURO DA 1.1.2018;+
2024;SSNA;F;FINANZIA;18T;ART 90 C 3 L C CCNL 16-18 INCR RID STABILE DOT ORG;+
2024;SSNA;U;UTILIZZO;08C;D.E.P. COLLABORATORI PROFESSIONALI DI RICERCA SANITARIA;+
2024;SSNA;U;UTILIZZO;08E;INDENNITÀ DI FUNZIONE RICERCATORE SANITARIO;+
2024;SSNA;U;UTILIZZO;08F;INDENNITÀ DI RISCHIO RADIOLOGICO;+
2024;UNIV;F;FINANZIA;30Y;ART 119 C 1 L B CCNL 19-21 INCR RID STABILE STRAORDINARIO;+
2024;UNIV;F;FINANZIA;31U;ART 121 C 1 L E CCNL 19-21 - INCR. 0,1% M.S. 2015 - EP;+
2024;CNEL;F;FINANZIA;32O;ART 32 C 1 CCNL 22-24 - INCREM (IN % M.S. 2021, TAB 7 CCNL);+
2024;AGFI;F;FINANZIA;32O;ART 32 C 1 CCNL 22-24 - INCREM (IN % M.S. 2021, TAB 7 CCNL);+
2024;SSNA;F;FINANZIA;32U;ART 103 C 2 CCNL 19-21 - UNICO IMPORTO CONSOLIDATO 2022;+
2024;RALN;U;UTILIZZO;07E;COMPENSI AVVOCATI ART. 9 CC. 5-6 DL 90/2014;+
2024;PCMD;U;UTILIZZO;07J;PASSAGGI DI PARAMETRO RETRIBUTIVO ANNO CORRENTE;+
2024;RALN;F;FINANZIA;24L;ART 8 C 3 P 1 DL 13/2023 - INCREM. ATTUAZIONE PROGETTI PNRR;+
2024;REFR;F;FINANZIA;28V;ART 45 C 8 L D) CCRL 19-21 - INCREM ART. 15 C 3 CCRL 19-21;+
2024;UNIV;F;FINANZIA;30X;ART 119 C 1 L A CCNL 19-21 RIA PERS CESSATO MISURA INTERA;+
2024;ENAC;F;FINANZIA;27S;ART 67 C 2 CCNL 19-21 - INCREM 0,22% M.S. 2018 DAL 1.1.2022;+
2024;RESA;F;FINANZIA;30L;ART 102 C 1 L D) CCRL 98-01 - DEC TRASF FUNZIONI E PERSONALE;-
2024;UNIV;F;FINANZIA;32M;ART 119 C 1 CCNL 19-21 - UNICO IMPORTO CONSOLIDATO 2017;+
2024;PCMD;F;FINANZIA;24J;SPEC. DISP. DI LEGGE (ART. 41 C. 3 CCNL 16-18);+
2024;RESA;F;FINANZIA;29Y;ART 102 C 2 L E) CCRL 98-01 - RATEO ASS AD PERS CESS;+
2024;RESA;F;FINANZIA;30K;ART 102 C 2 L I) CCNL 98-01 - QUOTA DIFF STIP ANNO DI CESSAZ;+
2024;REVA;U;UTILIZZO;03O;ART 154 C 1 L D) TUDC - ATTIVITÀ PART. ESIGENZE SERVIZIO;+
2024;REVA;U;UTILIZZO;03P;ART 154 C 1 L E) TUDC - PART. IND. ACCESS. ART. 162;+
2024;UNIV;F;FINANZIA;31L;ART 119 C 2 L C CCNL 19-21 - ALTRE SPEC. DISP. DI LEGGE;+
